season,gsis_id,player_name,position,category,rank,points,finish_3,finish_6,finish_12,finish_24,finish_36,finish_48
2016,00-0028002,Randall Cobb,WR,fantasy_points_ppr,52,148.3,0,0,0,0,0,0
2016,00-0021547,Antonio Gates,TE,fantasy_points_ppr,13,147.8,0,0,0,1,1,1
2016,00-0030404,Chris Thompson,RB,fantasy_points_ppr,28,147.5,0,0,0,0,1,1
2016,00-0030525,Tavon Austin,WR,fantasy_points_ppr,53,146.8,0,0,0,0,0,0
2016,00-0026153,Jonathan Stewart,RB,fantasy_points_ppr,29,146.4,0,0,0,0,1,1
2016,00-0029137,Alshon Jeffery,WR,fantasy_points_ppr,54,146.1,0,0,0,0,0,0
2016,00-0030181,Jack Doyle,TE,fantasy_points_ppr,14,145.4,0,0,0,1,1,1
2016,00-0027864,Ryan Mathews,RB,fantasy_points_ppr,30,144.6,0,0,0,0,1,1
2016,00-0031387,Eric Ebron,TE,fantasy_points_ppr,15,144.2,0,0,0,1,1,1
2016,00-0032257,Duke Johnson,RB,fantasy_points_ppr,31,144.2,0,0,0,0,1,1
2016,00-0032972,Devontae Booker,RB,fantasy_points_ppr,32,142.7,0,0,0,0,1,1
2016,00-0032200,Ty Montgomery,WR,fantasy_points_ppr,55,140.5,0,0,0,0,0,0
2016,00-0031228,Taylor Gabriel,WR,fantasy_points_ppr,56,140,0,0,0,0,0,0
2016,00-0032112,J.J. Nelson,WR,fantasy_points_ppr,57,139.1,0,0,0,0,0,0
2016,00-0027155,Rashad Jennings,RB,fantasy_points_ppr,33,138.4,0,0,0,0,1,1
2016,00-0032209,T.J. Yeldon,RB,fantasy_points_ppr,34,137.7,0,0,0,0,1,1
2016,00-0029697,Coby Fleener,TE,fantasy_points_ppr,16,137.3,0,0,0,1,1,1
2016,00-0030432,Christine Michael,RB,fantasy_points_ppr,35,137,0,0,0,0,1,1
2016,00-0028112,Charles Clay,TE,fantasy_points_ppr,17,136.2,0,0,0,1,1,1
2016,00-0029269,Travis Benjamin,WR,fantasy_points_ppr,58,134.4,0,0,0,0,0,0
2016,00-0031302,C.J. Fiedorowicz,TE,fantasy_points_ppr,18,133.9,0,0,0,1,1,1
2016,00-0023682,Ryan Fitzpatrick,QB,fantasy_points_ppr,29,133.4,0,0,0,0,1,1
2016,00-0032009,Adam Humphries,WR,fantasy_points_ppr,59,133,0,0,0,0,0,0
2016,00-0032371,Rob Kelley,RB,fantasy_points_ppr,36,132.6,0,0,0,0,1,1
2016,00-0028198,Matt Asiata,RB,fantasy_points_ppr,37,132.5,0,0,0,0,0,1
2016,00-0026281,Gary Barnidge,TE,fantasy_points_ppr,19,130.2,0,0,0,1,1,1
2016,00-0033090,Hunter Henry,TE,fantasy_points_ppr,20,129.8,0,0,0,1,1,1
2016,00-0028237,Chris Hogan,WR,fantasy_points_ppr,60,128.9,0,0,0,0,0,0
2016,00-0033127,Will Fuller,WR,fantasy_points_ppr,61,128.2,0,0,0,0,0,0
2016,00-0026289,Tim Hightower,RB,fantasy_points_ppr,38,126.8,0,0,0,0,0,1
2016,00-0031782,Eli Rogers,WR,fantasy_points_ppr,62,126,0,0,0,0,0,0
2016,00-0030433,Mike Gillislee,RB,fantasy_points_ppr,39,125.7,0,0,0,0,0,1
2016,00-0030542,Terrance Williams,WR,fantasy_points_ppr,63,125.4,0,0,0,0,0,0
2016,00-0032211,Tyler Lockett,WR,fantasy_points_ppr,64,124.1,0,0,0,0,0,0
2016,00-0033009,Tyler Boyd,WR,fantasy_points_ppr,65,124.1,0,0,0,0,0,0
2016,00-0030456,Giovani Bernard,RB,fantasy_points_ppr,40,122.3,0,0,0,0,0,1
2016,00-0027125,Zach Miller,TE,fantasy_points_ppr,21,119.6,0,0,0,1,1,1
2016,00-0030578,Cordarrelle Patterson,RB,fantasy_points_ppr,41,119.6,0,0,0,0,0,1
2016,00-0030431,Robert Woods,WR,fantasy_points_ppr,66,118.9,0,0,0,0,0,0
2016,00-0029638,Michael Floyd,WR,fantasy_points_ppr,67,115.8,0,0,0,0,0,0
2016,00-0033025,Jalen Richard,RB,fantasy_points_ppr,42,115.5,0,0,0,0,0,1
2016,00-0029640,Brian Quick,WR,fantasy_points_ppr,68,115.4,0,0,0,0,0,0
2016,00-0032688,Robby Anderson,WR,fantasy_points_ppr,69,114.9,0,0,0,0,0,0
2016,00-0024221,Vernon Davis,TE,fantasy_points_ppr,22,114.3,0,0,0,1,1,1
2016,00-0029689,Dwayne Allen,TE,fantasy_points_ppr,23,113.6,0,0,0,1,1,1
2016,00-0031166,Seth Roberts,WR,fantasy_points_ppr,70,111.7,0,0,0,0,0,0
2016,00-0028986,Case Keenum,QB,fantasy_points_ppr,30,111.14,0,0,0,0,1,1
2016,00-0027985,Lance Kendricks,TE,fantasy_points_ppr,24,109.9,0,0,0,1,1,1
