season,gsis_id,player_name,position,category,pos_rank,points,finish_3,finish_6,finish_12,finish_24,finish_36,finish_48
2023,00-0032141,Geoff Swaim,TE,fantasy_points_hppr,76,14.4,0,0,0,0,0,0
2023,00-0037429,Raheem Blackshear,RB,fantasy_points_hppr,96,14.1,0,0,0,0,0,0
2023,00-0038492,Jason Brownlee,WR,fantasy_points_hppr,163,14.1,0,0,0,0,0,0
2023,00-0032436,Jeff Driskel,QB,fantasy_points_hppr,61,13.94,0,0,0,0,0,0
2023,00-0036497,Tim Jones,WR,fantasy_points_hppr,164,13.8,0,0,0,0,0,0
2023,00-0037098,Samori Toure,WR,fantasy_points_hppr,165,13.8,0,0,0,0,0,0
2023,00-0035045,D.J. Montgomery,WR,fantasy_points_hppr,166,13.1,0,0,0,0,0,0
2023,00-0038797,Emanuel Wilson,RB,fantasy_points_hppr,97,12.8,0,0,0,0,0,0
2023,00-0036269,La'Mical Perine,RB,fantasy_points_hppr,98,12.5,0,0,0,0,0,0
2023,00-0034317,Keith Kirkwood,WR,fantasy_points_hppr,167,12.2,0,0,0,0,0,0
2023,00-0030068,Marquise Goodwin,WR,fantasy_points_hppr,168,12,0,0,0,0,0,0
2023,00-0037299,Keaontay Ingram,RB,fantasy_points_hppr,99,12,0,0,0,0,0,0
2023,00-0038935,Brenton Strange,TE,fantasy_points_hppr,77,12,0,0,0,0,0,0
2023,00-0031503,Jameis Winston,QB,fantasy_points_hppr,62,11.96,0,0,0,0,0,0
2023,00-0032268,Marcus Mariota,QB,fantasy_points_hppr,63,11.76,0,0,0,0,0,0
2023,00-0036145,Lawrence Cager,TE,fantasy_points_hppr,78,11.6,0,0,0,0,0,0
2023,00-0038622,Deuce Vaughn,RB,fantasy_points_hppr,100,11.5,0,0,0,0,0,0
2023,00-0035291,Trayveon Williams,RB,fantasy_points_hppr,101,11.4,0,0,0,0,0,0
2023,00-0038738,Hunter Luepke,RB,fantasy_points_hppr,102,11.2,0,0,0,0,0,0
2023,00-0029239,Brandon Bolden,RB,fantasy_points_hppr,103,11.1,0,0,0,0,0,0
2023,00-0024243,Marcedes Lewis,TE,fantasy_points_hppr,79,10.9,0,0,0,0,0,0
2023,00-0034177,Tim Boyle,QB,fantasy_points_hppr,64,10.9,0,0,0,0,0,0
2023,00-0036158,J.K. Dobbins,RB,fantasy_points_hppr,104,10.7,0,0,0,0,0,0
2023,00-0038685,Christopher Brooks,RB,fantasy_points_hppr,105,10.6,0,0,0,0,0,0
2023,00-0036332,Josiah Deguara,TE,fantasy_points_hppr,80,10.5,0,0,0,0,0,0
2023,00-0036424,Brycen Hopkins,TE,fantasy_points_hppr,81,10.3,0,0,0,0,0,0
2023,00-0035771,Mitchell Wilcox,TE,fantasy_points_hppr,82,10.1,0,0,0,0,0,0
2023,00-0038809,Ben Sims,TE,fantasy_points_hppr,83,10.1,0,0,0,0,0,0
2023,00-0038396,Eric Gray,RB,fantasy_points_hppr,106,10,0,0,0,0,0,0
2023,00-0034208,Mike Boone,RB,fantasy_points_hppr,107,9.8,0,0,0,0,0,0
2023,00-0028986,Case Keenum,QB,fantasy_points_hppr,65,9.74,0,0,0,0,0,0
2023,00-0038558,Darnell Washington,TE,fantasy_points_hppr,84,9.6,0,0,0,0,0,0
2023,00-0036590,Quintin Morris,TE,fantasy_points_hppr,85,9.6,0,0,0,0,0,0
2023,00-0038640,Jalen Brooks,WR,fantasy_points_hppr,169,9.4,0,0,0,0,0,0
2023,00-0036425,DeeJay Dallas,RB,fantasy_points_hppr,108,9.2,0,0,0,0,0,0
2023,00-0032062,Blake Bell,TE,fantasy_points_hppr,86,9.1,0,0,0,0,0,0
2023,00-0036569,Gary Brightwell,RB,fantasy_points_hppr,109,9.1,0,0,0,0,0,0
2023,00-0037745,Velus Jones,WR,fantasy_points_hppr,170,9.1,0,0,0,0,0,0
2023,00-0034279,Equanimeous St. Brown,WR,fantasy_points_hppr,171,8.7,0,0,0,0,0,0
2023,00-0032128,Chris Conley,WR,fantasy_points_hppr,172,8.4,0,0,0,0,0,0
2023,00-0037216,Justyn Ross,WR,fantasy_points_hppr,173,8.3,0,0,0,0,0,0
2023,00-0039050,Payne Durham,TE,fantasy_points_hppr,87,8.3,0,0,0,0,0,0
2023,00-0034365,Ian Thomas,TE,fantasy_points_hppr,88,8.1,0,0,0,0,0,0
2023,00-0038821,Rakim Jarrett,WR,fantasy_points_hppr,174,8,0,0,0,0,0,0
2023,00-0036427,Tyler Johnson,WR,fantasy_points_hppr,175,7.8,0,0,0,0,0,0
2023,00-0031763,DeAndre Carter,WR,fantasy_points_hppr,176,7.7,0,0,0,0,0,0
2023,00-0036630,Tylan Wallace,WR,fantasy_points_hppr,177,7.6,0,0,0,0,0,0
2023,00-0038582,Clayton Tune,QB,fantasy_points_hppr,66,7.48,0,0,0,0,0,0
2023,00-0032200,Ty Montgomery,WR,fantasy_points_hppr,178,7.4,0,0,0,0,0,0
2023,00-0036646,Simi Fehoko,WR,fantasy_points_hppr,179,7.4,0,0,0,0,0,0
2023,00-0037311,Ko Kieft,TE,fantasy_points_hppr,89,6.7,0,0,0,0,0,0
2023,00-0030874,Damien Williams,RB,fantasy_points_hppr,110,6.5,0,0,0,0,0,0
2023,00-0033854,Dare Ogunbowale,RB,fantasy_points_hppr,111,6.3,0,0,0,0,0,0
2023,00-0035120,Keelan Doss,WR,fantasy_points_hppr,180,6.3,0,0,0,0,0,0
2023,00-0036741,Jack Stoll,TE,fantasy_points_hppr,90,6.3,0,0,0,0,0,0
2023,00-0037132,Britain Covey,WR,fantasy_points_hppr,181,6.2,0,0,0,0,0,0
2023,00-0027948,Blaine Gabbert,QB,fantasy_points_hppr,67,5.9,0,0,0,0,0,0
2023,00-0037086,Grant Calcaterra,TE,fantasy_points_hppr,91,5.9,0,0,0,0,0,0
2023,00-0037569,Peyton Hendershot,TE,fantasy_points_hppr,92,5.8,0,0,0,0,0,0
2023,00-0038720,Julian Hill,TE,fantasy_points_hppr,93,5.8,0,0,0,0,0,0
2023,00-0036450,Ke'Shawn Vaughn,RB,fantasy_points_hppr,112,5.4,0,0,0,0,0,0
2023,00-0038667,Elijah Cooks,WR,fantasy_points_hppr,182,5.3,0,0,0,0,0,0
2023,00-0036331,Devin Duvernay,WR,fantasy_points_hppr,183,5.3,0,0,0,0,0,0
2023,00-0036482,Mike Strachan,WR,fantasy_points_hppr,184,5,0,0,0,0,0,0
2023,00-0026625,Brian Hoyer,QB,fantasy_points_hppr,68,4.94,0,0,0,0,0,0
