"mfl_id","player_name","gsis_id","team","pfr_id"
15339,"Kenny Yeboah","00-0036510","NYJ","YeboKe00"
15341,"Quintin Morris","00-0036590","BUF","MorrQu00"
15343,"Zach Davidson","00-0036640","BUF","DaviZa00"
15371,"Myles Adams","00-0035946","SEA","AdamMy00"
15374,"Sammis Reyes","00-0036474","JAC","ReyeSa00"
15405,"Brandon Stephens","00-0036987","BAL","StepBr01"
15408,"Cameron Sample","00-0036850","CIN","SampCa00"
15414,"Kene Nwangwu","00-0036842","MIN","NwanKe00"
15417,"Zech McPhearson","00-0036917","PHI","McPhZe00"
15441,"Nate Hobbs","00-0036871","LVR","HobbNa00"
15448,"Jason Pinnock","00-0036502","NYG","PinnJa01"
15451,"Shemar Jean-Charles","00-0036645","GBP","JeanSh00"
15456,"Nick Niemann","00-0036648","LAC","NiemNi00"
15460,"Quinton Bohanna","00-0036649","DAL","BohaQu00"
15461,"Roy Lopez","00-0036568","HOU","LopeRo00"
15464,"Brandin Echols","00-0036504","NYJ","EchoBr00"
15467,"Jalen Camp","00-0036858","HOU","CampJa03"
15479,"Phil Hoskins","00-0036576","KCC","HoskPh00"
15488,"Gerrid Doaks","00-0036578","HOU","DoakGe00"
15491,"Ben Skowronek","00-0036862","LAR","SkowBe00"
15497,"Kawaan Baker","00-0036939","NOS","BakeKa00"
15498,"Grant Stuard","00-0036672","IND","StuaGr00"
15503,"Nate McCrary","00-0036582","GBP","McCrNa00"
15504,"Blake Proehl","00-0036818","MIN","ProeBl00"
15505,"Caleb Huntley","00-0036829","FA","HuntCa02"
15506,"Matt Bushman","00-0036519","FA","BushMa00"
15510,"ArDarius Washington","00-0036587","BAL","WashAr00"
15512,"Marvin Wilson","00-0036689","FA","WilsMa05"
15515,"Charles Snowden","00-0036711","TBB","SnowCh00"
15521,"Amen Ogbongbemiga","00-0036716","LAC","OgboAm00"
15528,"Kristian Wilkerson","00-0036183","LVR","WilkKr00"
15529,"Easop Winston","00-0036080","SEA","WinsEa00"
15533,"Derrick Gore","00-0035715","WAS","GoreDe00"
15534,"Miller Forristall","00-0036692","CLE","ForrMi00"
15535,"Mason Kinsey","00-0036176","TEN","KinsMa00"
15536,"DiCaprio Bootle","00-0036678","KCC","BootDi00"
15538,"Jon Rhattigan","00-0036802","SEA","RhatJo00"
15542,"Nick Bowers","00-0036083","CIN","BoweNi00"
15543,"Jonas Griffith","00-0035804","DEN","GrifJo01"
15546,"AJ Parker","00-0036752","FA","ParkAJ00"
15549,"Jerry Jacobs","00-0036748","DET","JacoJe00"
15559,"Jonah Williams","00-0035944","LAR","WillJo16"
15561,"Jamir Jones","00-0036068","FA","JoneJa11"
15563,"Mitchell Wilcox","00-0035771","CIN","WilcMi01"
15564,"Parker Hesse","00-0035572","ATL","HessPa00"
15565,"Michael Hoecht","00-0035933","LAR","HoecMi00"
15580,"Aaron Patrick","00-0036465","DEN","PatrAa00"
15586,"Caleb Johnson","00-0036704","JAC","JohnCa04"
15588,"Tory Carter","00-0036691","FA","CartTo01"
15589,"Cody White","00-0035891","PIT","WhitCo05"
15595,"Elijah Campbell","00-0034248","MIA","CampEl00"
15604,"Shane Zylstra","00-0036534","DET","ZylsSh00"
