"mfl_id","player_name","pfr_id","gsis_id","team"
"15103","Reggie Gilliam",NA,"00-0036187","BUF"
"15114","Myles Hartsfield",NA,"00-0035950","SFO"
"15117","Demetrius Flannigan-Fowles",NA,"00-0035020","SFO"
"15121","Bryce Huff",NA,"00-0036151","NYJ"
"15124","James Pierre",NA,"00-0035795","PIT"
"15125","Lamar Jackson",NA,"00-0036152","KCC"
"15130","Juju Hughes",NA,"00-0036077","ARI"
"15132","Kendal Vickers",NA,"00-0034125","BUF"
"15137","Grayland Arnold",NA,"00-0035995","HOU"
"15140","Cam Lewis",NA,"00-0035357","BUF"
"15142","Tyler Hall",NA,"00-0035783","LVR"
"15147","Javelin Guidry",NA,"00-0036149","NYJ"
"15148","Sam Franklin",NA,"00-0036037","CAR"
"15151","Kristian Welch",NA,"00-0036157","BAL"
"15159","Henry Mondeaux",NA,"00-0034318","JAC"
"15165","Benito Jones",NA,"00-0035841","DET"
"15168","Michael Jacquet",NA,"00-0035998","LAC"
"15173","Teair Tart",NA,"00-0036181","TEN"
"15176","Jace Whittaker",NA,"00-0036043","WAS"
"15177","Myles Bryant",NA,"00-0036087","NEP"
"15191","Bobby Price",NA,"00-0036011","ARI"
"15203","Blake Lynch",NA,"00-0035984","LAC"
"15206","JaMarcus Bradley",NA,"00-0036110","PIT"
"15212","Joe Gaziano",NA,"00-0035903","ATL"
"15220","Antonio Williams",NA,"00-0036188","FA"
"15225","Elijah Riley",NA,"00-0036002","PIT"
"15229","AJ Green",NA,"00-0036114","CLE"
"15244","Feleipe Franks",NA,"00-0036825","ATL"
"15248","Shane Buechele",NA,"00-0036679","KCC"
"15268","Javian Hawkins",NA,"00-0036827","FA"
"15277","Deon Jackson",NA,"00-0036493","IND"
"15324","Austin Watkins",NA,"00-0036676","FA"
"15325","Cade Johnson",NA,"00-0036810","SEA"
"15339","Kenny Yeboah",NA,"00-0036510","NYJ"
"15341","Quintin Morris",NA,"00-0036590","BUF"
"15343","Zach Davidson",NA,"00-0036640","BUF"
"15371","Myles Adams",NA,"00-0035946","SEA"
"15374","Sammis Reyes",NA,"00-0036474","JAC"
"15405","Brandon Stephens",NA,"00-0036987","BAL"
"15408","Cameron Sample",NA,"00-0036850","CIN"
"15414","Kene Nwangwu",NA,"00-0036842","MIN"
"15417","Zech McPhearson",NA,"00-0036917","PHI"
"15441","Nate Hobbs",NA,"00-0036871","LVR"
"15448","Jason Pinnock",NA,"00-0036502","NYG"
"15451","Shemar Jean-Charles",NA,"00-0036645","GBP"
"15456","Nick Niemann",NA,"00-0036648","LAC"
"15460","Quinton Bohanna",NA,"00-0036649","DAL"
"15461","Roy Lopez",NA,"00-0036568","HOU"
"15464","Brandin Echols",NA,"00-0036504","NYJ"
"15467","Jalen Camp",NA,"00-0036858","HOU"
"15479","Phil Hoskins",NA,"00-0036576","KCC"
"15488","Gerrid Doaks",NA,"00-0036578","HOU"
"15491","Ben Skowronek",NA,"00-0036862","LAR"
"15497","Kawaan Baker",NA,"00-0036939","NOS"
"15498","Grant Stuard",NA,"00-0036672","IND"
"15503","Nate McCrary",NA,"00-0036582","GBP"
"15504","Blake Proehl",NA,"00-0036818","MIN"
"15505","Caleb Huntley",NA,"00-0036829","FA"
"15506","Matt Bushman",NA,"00-0036519","FA"
"15510","ArDarius Washington",NA,"00-0036587","BAL"
"15512","Marvin Wilson",NA,"00-0036689","FA"
"15515","Charles Snowden",NA,"00-0036711","TBB"
"15521","Amen Ogbongbemiga",NA,"00-0036716","LAC"
"15528","Kristian Wilkerson",NA,"00-0036183","LVR"
"15529","Easop Winston",NA,"00-0036080","SEA"
"15533","Derrick Gore",NA,"00-0035715","WAS"
"15534","Miller Forristall",NA,"00-0036692","CLE"
"15535","Mason Kinsey",NA,"00-0036176","TEN"
"15536","DiCaprio Bootle",NA,"00-0036678","KCC"
"15538","Jon Rhattigan",NA,"00-0036802","SEA"
"15542","Nick Bowers",NA,"00-0036083","CIN"
"15543","Jonas Griffith",NA,"00-0035804","DEN"
"15546","AJ Parker",NA,"00-0036752","FA"
"15549","Jerry Jacobs",NA,"00-0036748","DET"
"15559","Jonah Williams",NA,"00-0035944","LAR"
"15561","Jamir Jones",NA,"00-0036068","FA"
"15563","Mitchell Wilcox",NA,"00-0035771","CIN"
"15564","Parker Hesse",NA,"00-0035572","ATL"
"15565","Michael Hoecht",NA,"00-0035933","LAR"
"15580","Aaron Patrick",NA,"00-0036465","DEN"
"15586","Caleb Johnson",NA,"00-0036704","JAC"
"15588","Tory Carter",NA,"00-0036691","FA"
"15589","Cody White",NA,"00-0035891","PIT"
"15595","Elijah Campbell",NA,"00-0034248","MIA"
"15604","Shane Zylstra",NA,"00-0036534","DET"
"15608","LaDarius Hamilton",NA,"00-0036030","FA"
"15612","Sam Kamara",NA,"00-0036705","CLE"
"15614","Nick McCloud",NA,"00-0036589","NYG"
"15618","Naquan Jones",NA,"00-0036695","TEN"
"15620","Chris Myarick",NA,"00-0035345","NYG"
"15621","Breiden Fehoko",NA,"00-0035927","PIT"
"15626","Brock Wright",NA,"00-0036754","DET"
"15629","Josiah Bronson",NA,"00-0036537","MIA"
"15644","Jake Gervase",NA,"00-0035609","FA"
"15650","Adam Prentice",NA,"00-0036727","NOS"
"15671","Michael Bandy",NA,"00-0036959","DEN"
"15673","Michael Dwumfour",NA,"00-0036507","CLE"
"15681","Christian Elliss",NA,"00-0036813","PHI"
"15683","CJ Saunders",NA,"00-0036910","CAR"
"15691","Matt Corral",NA,"00-0038132","CAR"
"15692","Kenny Pickett",NA,"00-0038102","PIT"
"15693","Sam Howell",NA,"00-0037077","WAS"
"15694","Malik Willis",NA,"00-0038128","TEN"
"15695","Carson Strong",NA,NA,"FA"
"15696","Bailey Zappe",NA,"00-0038108","NEP"
"15697","Desmond Ridder",NA,"00-0038122","ATL"
"15698","Brock Purdy",NA,"00-0037834","SFO"
"15699","Skylar Thompson",NA,"00-0037327","MIA"
"15701","Chase Garbers",NA,"00-0037507","LVR"
"15702","Tanner McKee",NA,NA,"PHI"
"15705","DEriq King",NA,NA,"FA"
"15707","EJ Perry",NA,NA,"FA"
"15708","Breece Hall",NA,"00-0038120","NYJ"
"15709","Isaiah Spiller",NA,"00-0038045","LAC"
"15710","Kyren Williams",NA,"00-0037840","LAR"
"15711","Kenneth Walker",NA,"00-0038134","SEA"
"15712","Tyler Allgeier",NA,"00-0037263","ATL"
"15713","Jerome Ford",NA,"00-0037267","CLE"
"15714","Zamir White",NA,"00-0038040","LVR"
"15715","James Cook",NA,"00-0037248","BUF"
"15716","Brian Robinson",NA,"00-0037746","WAS"
"15717","Dameon Pierce",NA,"00-0037258","HOU"
"15718","Tyler Badie",NA,"00-0037085","DEN"
"15719","Kevin Harris",NA,"00-0037286","NEP"
"15720","Hassan Haskins",NA,"00-0037617","TEN"
"15721","Rachaad White",NA,"00-0037256","TBB"
"15722","Jerrion Ealy",NA,NA,"KCC"
"15723","Ty Chandler",NA,"00-0037276","MIN"
"15725","Snoop Conner",NA,"00-0037265","JAC"
"15726","Ronnie Rivers",NA,"00-0037557","LAR"
"15727","Zonovan Knight",NA,"00-0037157","NYJ"
"15728","Abram Smith",NA,NA,"MIN"
"15729","Jashaun Corbin",NA,NA,"NYG"
"15730","Tyler Goodson",NA,"00-0037120","GBP"
"15731","Master Teague",NA,NA,"FA"
"15733","Pierre Strong",NA,"00-0038098","NEP"
"15734","Keaontay Ingram",NA,"00-0037299","ARI"
"15735","Max Borghi",NA,NA,"FA"
"15736","Kennedy Brooks",NA,NA,"PHI"
"15738","Malik Davis",NA,"00-0037563","DAL"
"15739","ZaQuandre White",NA,NA,"FA"
"15742","Jaylen Warren",NA,"00-0037228","PIT"
"15743","Sincere McCormick",NA,"00-0037509","LVR"
"15744","Dvonte Price",NA,"00-0037400","FA"
"15746","Tyrion Davis-Price",NA,"00-0037827","SFO"
"15748","Trestan Ebner",NA,"00-0037087","CHI"
"15749","Isiah Pacheco",NA,"00-0037197","KCC"
"15751","Drake London",NA,"00-0037238","ATL"
"15752","Treylon Burks",NA,"00-0037742","TEN"
"15753","Garrett Wilson",NA,"00-0037740","NYJ"
"15754","Chris Olave",NA,"00-0037239","NOS"
"15755","Jahan Dotson",NA,"00-0037741","WAS"
"15756","Jameson Williams",NA,"00-0037240","DET"
"15757","WanDale Robinson",NA,"00-0038117","NYG"
"15758","David Bell",NA,"00-0037257","CLE"
"15759","John Metchie",NA,"00-0037614","HOU"
"15761","Khalil Shakir",NA,"00-0037261","BUF"
"15762","George Pickens",NA,"00-0037247","PIT"
"15763","Justyn Ross",NA,"00-0037216","KCC"
"15765","Kevin Austin",NA,NA,"JAC"
"15766","Skyy Moore",NA,"00-0038090","KCC"
"15767","Velus Jones",NA,"00-0037745","CHI"
"15768","Alec Pierce",NA,"00-0037664","IND"
"15769","Reggie Roberson",NA,NA,"TEN"
"15771","Tay Martin",NA,"00-0037524","SFO"
"15772","Britain Covey",NA,"00-0037132","PHI"
"15773","Makai Polk",NA,NA,"BAL"
"15774","Dontario Drummond",NA,NA,"DAL"
"15775","Braylon Sanders",NA,"00-0037355","MIA"
"15777","Calvin Austin",NA,"00-0037837","PIT"
"15779","Romeo Doubs",NA,"00-0037816","GBP"
"15780","Erik Ezukanma",NA,"00-0038092","MIA"
"15781","Ty Fryfogle",NA,NA,"KCC"
"15782","Danny Gray",NA,"00-0037828","SFO"
"15783","Johnny Johnson",NA,"00-0037460","HOU"
"15785","Bo Melton",NA,"00-0037091","GBP"
"15786","Jalen Nailor",NA,"00-0037291","MIN"
"15787","Tyquan Thornton",NA,"00-0038104","NEP"
"15788","Jalen Tolbert",NA,"00-0037666","DAL"
"15789","Christian Watson",NA,"00-0038124","GBP"
"15790","Isaiah Weston",NA,"00-0037343","FA"
"15792","Michael Woods",NA,NA,"CLE"
"15793","Jalen Wydermyer",NA,NA,"FA"
"15794","Trey McBride",NA,"00-0037744","ARI"
"15795","Charlie Kolar",NA,"00-0038046","BAL"
"15796","Jeremy Ruckert",NA,"00-0037805","NYJ"
"15797","Greg Dulcich",NA,"00-0037252","DEN"
"15798","Isaiah Likely",NA,"00-0037838","BAL"
"15799","Jake Ferguson",NA,"00-0038041","DAL"
"15800","Connor Heyward",NA,"00-0037304","PIT"
"15801","Austin Allen",NA,NA,"GBP"
"15802","Cade Otton",NA,"00-0038129","TBB"
"15803","Cole Turner",NA,"00-0037078","WAS"
"15804","Grant Calcaterra",NA,"00-0037086","PHI"
"15805","Aidan Hutchinson",NA,NA,"DET"
"15806","Kayvon Thibodeaux",NA,"00-0037611","NYG"
"15807","David Ojabo",NA,"00-0038142","BAL"
"15808","George Karlaftis",NA,NA,"KCC"
"15809","Jermaine Johnson",NA,NA,"NYJ"
"15810","Myjai Sanders",NA,"00-0037751","ARI"
"15811","Drake Jackson",NA,NA,"SFO"
"15812","Logan Hall",NA,NA,"TBB"
"15813","Kingsley Enagbare",NA,"00-0037083","GBP"
"15814","Cameron Thomas",NA,NA,"ARI"
"15815","Travon Walker",NA,NA,"JAC"
"15816","Perrion Winfrey",NA,NA,"FA"
"15817","Jordan Davis",NA,NA,"PHI"
"15818","DeMarvin Leal",NA,NA,"PIT"
"15819","Devonte Wyatt",NA,NA,"GBP"
"15820","Phidarian Mathis",NA,NA,"WAS"
"15821","Nakobe Dean",NA,"00-0037615","PHI"
"15822","Devin Lloyd",NA,"00-0037244","JAC"
"15823","Christian Harris",NA,"00-0037823","HOU"
"15824","Channing Tindall",NA,"00-0037813","MIA"
"15825","Darrian Beavers",NA,"00-0037285","NYG"
"15826","Damone Clark",NA,"00-0037281","DAL"
"15827","JoJo Domann",NA,"00-0037393","IND"
"15828","Brandon Smith",NA,"00-0038113","CAR"
"15829","Brian Asamoah",NA,"00-0037822","MIN"
"15830","Chad Muma",NA,"00-0037811","JAC"
"15831","Leo Chenal",NA,"00-0037819","KCC"
"15832","Derek Stingley",NA,NA,"HOU"
"15833","Ahmad Gardner",NA,NA,"NYJ"
"15834","Kyle Hamilton",NA,NA,"BAL"
"15835","Jaquan Brisker",NA,NA,"CHI"
"15836","Daxton Hill",NA,NA,"CIN"
"15837","Lewis Cine",NA,NA,"MIN"
"15838","Verone McKinley",NA,NA,"MIA"
"15839","Nick Cross",NA,NA,"IND"
"15840","Jelani Woods",NA,"00-0037755","IND"
"15841","Samori Toure",NA,"00-0037098","GBP"
"15844","Devon Allen",NA,"00-0037039","PHI"
"15845","Trent McDuffie",NA,NA,"KCC"
"15846","Quay Walker",NA,"00-0037074","GBP"
"15847","Kaiir Elam",NA,NA,"BUF"
"15849","Roger McCreary",NA,NA,"TEN"
"15850","Jalen Pitre",NA,NA,"HOU"
"15851","Arnold Ebiketie",NA,"00-0038116","ATL"
"15852","Kyler Gordon",NA,NA,"CHI"
"15853","Boye Mafe",NA,NA,"SEA"
"15854","Andrew Booth",NA,NA,"MIN"
"15855","Josh Paschal",NA,NA,"DET"
"15856","Alontae Taylor",NA,NA,"NOS"
"15857","Sam Williams",NA,NA,"DAL"
"15858","Troy Andersen",NA,"00-0037810","ATL"
"15859","Cam Taylor-Britt",NA,NA,"CIN"
"15860","Bryan Cook",NA,NA,"KCC"
"15861","Nik Bonitto",NA,"00-0037249","DEN"
"15862","Martin Emerson",NA,NA,"CLE"
"15863","Travis Jones",NA,NA,"BAL"
"15864","Alex Wright",NA,NA,"CLE"
"15865","JT Woods",NA,NA,"LAC"
"15866","Cordale Flott",NA,NA,"NYG"
"15867","DeAngelo Malone",NA,"00-0037808","ATL"
"15868","Marcus Jones",NA,NA,"NEP"
"15869","Terrel Bernard",NA,"00-0037254","BUF"
"15870","Zachary Carter",NA,NA,"CIN"
"15871","Kerby Joseph",NA,NA,"DET"
"15872","Coby Bryant",NA,NA,"SEA"
"15873","Daniel Bellinger",NA,"00-0038115","NYG"
"15874","Percy Butler",NA,NA,"WAS"
"15875","Dane Belton",NA,NA,"NYG"
"15876","Damarri Mathis",NA,NA,"DEN"
"15877","Eyioma Uwazurike",NA,NA,"DEN"
"15878","Micheal Clemons",NA,NA,"NYJ"
"15879","Jalyn Armour-Davis",NA,NA,"BAL"
"15880","Akayleb Evans",NA,NA,"MIN"
"15881","Jack Jones",NA,NA,"NEP"
"15883","Neil Farrell",NA,NA,"LVR"
"15885","Joshua Williams",NA,NA,"KCC"
"15886","Damarion Williams",NA,NA,"BAL"
"15888","Decobie Durant",NA,NA,"LAR"
"15889","Chigoziem Okonkwo",NA,"00-0037809","TEN"
"15890","Micah McFadden",NA,"00-0037259","NYG"
"15891","DJ Davidson",NA,NA,"NYG"
"15892","Thomas Booker",NA,NA,"HOU"
"15893","Delarrin Turner-Yell",NA,NA,"DEN"
"15894","Tariq Woolen",NA,NA,"SEA"
"15895","Zyon McCollum",NA,NA,"TBB"
"15896","Tyreke Smith",NA,NA,"SEA"
"15897","Eric Johnson",NA,NA,"IND"
"15898","Otito Ogbonnia",NA,NA,"LAC"
"15899","DMarco Jackson",NA,"00-0037271","NOS"
"15900","Montrell Washington",NA,"00-0037272","DEN"
"15901","Kyle Philips",NA,"00-0037273","TEN"
"15902","Esezi Otomewo",NA,NA,"MIN"
"15903","Tycen Anderson",NA,NA,"CIN"
"15904","DaRon Bland",NA,NA,"DAL"
"15905","Teagan Quitoriano",NA,"00-0037277","HOU"
"15906","Samuel Womack",NA,NA,"SFO"
"15907","Dominique Robinson",NA,NA,"CHI"
"15908","Matthew Butler",NA,NA,"LVR"
"15909","James Mitchell",NA,"00-0037282","DET"
"15910","John Ridgeway",NA,NA,"WAS"
"15912","Kyron Johnson",NA,"00-0037084","PHI"
"15913","Christian Benford",NA,NA,"BUF"
"15914","Malcolm Rodriguez",NA,"00-0037289","DET"
"15915","Amare Barno",NA,NA,"CAR"
"15916","Andrew Ogletree",NA,"00-0037292","IND"
"15917","Devin Harper",NA,"00-0037293","DAL"
"15920","Sam Roberts",NA,NA,"NEP"
"15921","Theo Jackson",NA,NA,"MIN"
"15922","Matt Henningsen",NA,NA,"DEN"
"15923","Quentin Lake",NA,NA,"LAR"
