"club_code","depth_team","FS","S","CB","SS","DE","DT","NT","OLB","ILB","C","RT","G","T","LG","RG","LT","QB","RB","P","K","LS","TE","WR","DB","DL","FB","RUSH","SAM","MLB","WLB","LB","X.....","NCB","EDGE","SLB","MIKE","WILL","RDE","LDE","ROT","LOT","HB","NKL","RCB","LCB","RE","LE","NB","RILB","LOLB","LILB","ROLB","RDT","LDT"
"BAL","4","A. Washington (FS, Active)","NULL","c(""K. Fuller (CB, R/Injured)"", ""M. Peters (CB, Active)"", ""D. Worley (CB, Active)"", ""T. Keyes (CB, Practice Squad)"", ""J. Armour-Davis (CB, R/Injured)"")","NULL","C. Campbell (DE, Active)","c(""C. Ringo (DT, PS; Vet)"", ""R. Nichols (DT, Practice Squad)"")","M. Pierce (NT, R/Injured)","c(""S. Means (OLB, R/Injured)"", ""V. Biegel (OLB, R/Injured)"", ""D. Hayes (OLB, R/Injured)"")","c(""J. Bynes (ILB, PS; Vet)"", ""J. Ross (ILB, R/Injured)"")","NULL","NULL","c(""R. McKenzie (G, Practice Squad)"", ""J. Simpson (G, PS; Exc)"")","c(""J. James (T, R/Injured)"", ""D. Sharpe (T, PS; Vet)"")","NULL","NULL","NULL","c(""B. Hundley (QB, PS; Vet)"", ""L. Jackson (QB, Active)"")","c(""K. Drake (RB, Active)"", ""R. Person (RB, R/Left Squad)"")","c(""S. Koch (P, R/Retired)"", ""J. Stout (P, Active)"")","J. Tucker (K, Active)","N. Moore (LS, Active)","c(""N. Boyle (TE, PS; Vet)"", ""B. Mason (TE, Practice Squad)"")","c(""D. Jackson (WR, Waivers/No Rec.)"", ""M. Thomas (WR, PS; Vet)"", ""A. Isabella (WR, Active)"", ""D. Duvernay (WR, R/Injured)"", ""B. Victor (WR, Active)"", ""R. Bateman (WR, R/Injured)"", ""T. Wallace (WR, R/Injured)"", ""T. Black (WR, Practice Squad)"", ""S. Bridges (WR, Practice Squad)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","J. Moon (LB, Practice Squad)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"BUF","4","M. Hyde (FS, R/Injured; DFR)","NULL","NULL","D. Hamlin (SS, R/Injured)","c(""J. Phillips (DE, Active)"", ""M. Love (DE, Practice Squad)"")","c(""B. Bryant (DT, Practice Squad)"", ""K. Vickers (DT, Reserve/Future)"", ""C. Broughton (DT, PS; Exc)"")","NULL","c(""V. Miller (OLB, R/Injured)"", ""A. Klein (OLB, Active)"", ""J. Giles-Harris (OLB, PS; Exc)"")","NULL","G. Mancz (C, PS; Vet)","NULL","NULL","c(""J. Murray (T, PS; Vet)"", ""T. Doyle (T, R/Injured)"", ""R. Van Demark (T, Practice Squad)"", ""A. Anderson (T, Prac Sq.; Inj)"")","NULL","NULL","NULL","M. Barkley (QB, PS; Vet)","R. Johnson (RB, PS; Vet)","S. Martin (P, Active)","T. Bass (K, Active)","C. Ferguson (LS, Active)","c(""T. Sweeney (TE, Active)"", ""Z. Davidson (TE, Practice Squad)"")","c(""J. Brown (WR, PS; Vet)"", ""J. Crowder (WR, R/Injured; DFR)"", ""J. Kumerow (WR, R/Injured)"", ""A. Gentry (WR, Practice Squad)"", ""K. Johnson (WR, PS; Exc)"", ""I. Coulter (WR, Reserve/Future)"", ""D. Patmon (WR, Practice Squad)"")","c(""K. McMichael (DB, Practice Squad)"", ""J. Ingram (DB, Practice Squad)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"CAR","4","K. Robinson (FS, PS; Exc)","NULL","c(""J. Norman (CB, Active)"", ""R. Melvin (CB, R/Retired)"", ""D. Jackson (CB, R/Injured)"", ""J. Layne (CB, R/DNR)"", ""S. Thomas-Oliver (CB, R/Injured)"", ""M. Harper (CB, PS; Exc)"", ""J. Horn (CB, R/Injured)"")","NULL","c(""H. Anderson (DE, Active)"", ""K. Jones (DE, Practice Squad)"")","c(""R. Williams (DT, Practice Squad)"", ""P. Hoskins (DT, Active)"")","NULL","c(""B. Smith (OLB, R/Injured)"", ""A. Mosby (OLB, Practice Squad)"")","NULL","c(""P. Elflein (C, R/Injured)"", ""S. Tecklenburg (C, Active)"")","NULL","D. Brown (G, Practice Squad)","NULL","NULL","NULL","NULL","c(""M. Corral (QB, R/Injured)"", ""D. Cheek (QB, Practice Squad)"")","S. Brown (RB, Practice Squad)","J. Hekker (P, Active)","c(""Z. Gonzalez (K, R/Injured)"", ""E. Pineiro (K, Active)"")","J. Jansen (LS, Active)","C. Thompson (TE, PS; Exc)","c(""A. Roberts (WR, Active)"", ""P. Williams (WR, Active)"", ""C. Saunders (WR, Practice Squad)"", ""D. Wright (WR, Practice Squad)"")","G. Heslop (DB, Practice Squad)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"CHI","4","A. Colbert (FS, Active)","NULL","c(""G. Stroman (CB, Active)"", ""J. Johnson (CB, R/Injured)"", ""K. Vildor (CB, R/Injured)"", ""J. Blackwell (CB, R/Injured)"")","c(""E. Jackson (SS, R/Injured)"", ""D. Cruikshank (SS, R/Injured)"")","c(""A. Muhammad (DE, Active)"", ""G. Green (DE, Practice Squad)"", ""S. Reyes (DE, PS; Exc)"")","T. Coley (DT, PS; Vet)","A. Watts (NT, Active)","J. White (OLB, R/Injured)","J. Sanborn (ILB, R/Injured)","D. Kramer (C, R/Injured)","NULL","c(""M. Schofield (G, R/Injured)"", ""D. Dozier (G, R/Injured)"", ""L. Patrick (G, R/Injured)"")","c(""T. Jenkins (T, R/Injured)"", ""K. Diesch (T, Practice Squad)"", ""M. Niese (T, Practice Squad)"")","NULL","NULL","NULL","T. Siemian (QB, R/Injured)","NULL","T. Gill (P, Active)","C. Santos (K, Active)","c(""P. Scales (LS, Active)"", ""K. Canaday (LS, PS; Vet)"")","c(""C. Allen (TE, Practice Squad)"", ""J. Tonges (TE, Practice Squad)"")","c(""D. Fountain (WR, Practice Squad)"", ""N. Webster (WR, PS; Vet)"", ""D. Mooney (WR, R/Injured)"", ""V. Jones (WR, Active)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","c(""A. Anthony (LB, Prac Sq.; Inj)"", ""K. Deng (LB, Practice Squad)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"CIN","4","B. Wilson (FS, R/PUP)","NULL","c(""C. Awuzie (CB, R/Injured)"", ""M. Tell (CB, PS; Exc)"")","NULL","c(""W. Hubert (DE, R/Retired)"", ""R. Johnson (DE, PS; Exc)"")","D. Davis (DT, Practice Squad)","NULL","NULL","K. Jones (ILB, Practice Squad)","B. Brown (C, R/Injured)","NULL","N. Gilliam (G, Practice Squad)","c(""L. Collins (T, R/Injured)"", ""J. Williams (T, Active)"", ""I. Prince (T, Active)"", ""D. Cochran (T, Practice Squad)"")","NULL","NULL","NULL","J. Browning (QB, Active)","E. Holyfield (RB, R/Injured)","c(""K. Huber (P, PS; Vet)"", ""D. Chrisman (P, Active)"")","E. McPherson (K, Active)","c(""C. Harris (LS, R/Injured)"", ""C. Adomitis (LS, Active)"")","c(""T. Hudson (TE, PS; Exc)"", ""D. Sample (TE, R/Injured)"", ""N. Bowers (TE, Practice Squad)"")","c(""T. Johnson (WR, PS; Exc)"", ""K. Lassiter (WR, Practice Squad)"")","c(""T. Anderson (DB, R/Injured; DFR)"", ""Y. Corker (DB, Practice Squad)"")","NULL","NULL","NULL","NULL","NULL","NULL","O. Carney (LB, Practice Squad)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"CLE","4","NULL","NULL","c(""J. Haden (CB, R/Retired)"", ""H. Miller (CB, PS; Exc)"")","NULL","c(""J. Clowney (DE, Active)"", ""C. Odom (DE, R/Injured)"")","R. Perry (DT, Practice Squad)","NULL","c(""S. Weatherly (OLB, R/Injured)"", ""S. Takitaki (OLB, R/Injured)"", ""J. Owusu-Koramoah (OLB, R/Injured)"", ""S. Kamara (OLB, Active)"")","NULL","N. Harris (C, R/Injured)","NULL","c(""M. Dunn (G, R/Injured)"", ""D. Deaton (G, R/Injured)"")","c(""J. Haeg (T, R/Injured)"", ""T. Wheatley (T, Practice Squad)"", ""M. Cunningham (T, Practice Squad)"")","NULL","NULL","NULL","NULL","J. Kelly (RB, Practice Squad)","C. Bojorquez (P, Active)","C. York (K, Active)","R. Hughlett (LS, Active)","c(""J. James (TE, R/Injured)"", ""M. Forristall (TE, Practice Squad)"", ""Z. Mitchell-Paden (TE, Practice Squad)"")","c(""J. Grant (WR, R/Injured)"", ""A. Schwartz (WR, R/Injured)"", ""M. Stevenson (WR, Practice Squad)"", ""M. Harley (WR, Practice Squad)"", ""I. Weston (WR, R/Injured)"", ""D. Baldwin (WR, Practice Squad)"")","B. Bolden (DB, Practice Squad)","NULL","NULL","NULL","NULL","c(""A. Walker (MLB, R/Injured)"", ""J. Kunaszyk (MLB, R/Injured)"", ""J. Phillips (MLB, R/Injured)"")","NULL","S. Jackson (LB, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"DAL","4","c(""S. Redwine (FS, PS; Vet)"", ""T. Coyle (FS, Practice Squad)"")","NULL","c(""X. Rhodes (CB, Active)"", ""M. Alexander (CB, Prac Sq.; Inj)"", ""A. Brown (CB, R/Injured)"", ""J. Lewis (CB, R/Injured)"", ""T. Mullen (CB, Waivers/No Rec.)"", ""K. Sheffield (CB, PS; Vet)"")","NULL","T. McKinley (DE, PS; Vet)","A. Rush (DT, PS; Vet)","J. Hankins (NT, Active)","c(""D. Bond (OLB, R/Injured)"", ""M. Jefferson (OLB, PS; Vet)"")","NULL","c(""D. Shepley (C, Waivers/No Rec.)"", ""B. Hoffman (C, Active)"", ""A. Lindstrom (C, Prac Sq.; Inj)"")","NULL","M. Farniok (G, R/Injured; DFR)","c(""A. Collins (T, Active)"", ""T. Steele (T, R/Injured)"", ""A. Taylor (T, Practice Squad)"", ""I. Alarcon (T, Int'l PSquad)"", ""M. Waletzko (T, R/Injured)"")","NULL","NULL","NULL","NULL","c(""Q. Ollison (RB, Practice Squad)"", ""R. Dowdle (RB, R/Injured)"")","B. Anger (P, Active)","c(""B. Maher (K, Active)"", ""T. Vizcaino (K, Practice Squad)"")","c(""M. Overton (LS, Active)"", ""J. McQuaide (LS, R/Injured)"")","I. Bunting (TE, R/Injured)","c(""A. Callaway (WR, PS; Exc)"", ""S. Fehoko (WR, R/Injured; DFR)"", ""B. Smith (WR, Practice Squad)"", ""D. Drummond (WR, Practice Squad)"", ""D. Houston (WR, Practice Squad)"")","c(""I. Taylor-Stuart (DB, R/Injured)"", ""J. Thomas (DB, Prac Sq.; Inj)"")","NULL","NULL","NULL","NULL","D. Harper (MLB, R/Injured; DFR)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"DEN","4","C. Sterns (FS, R/Injured)","NULL","c(""R. Darby (CB, R/Injured)"", ""D. Phillips (CB, R/Injured)"")","NULL","c(""R. Gregory (DE, R/Injured)"", ""J. Martin (DE, R/Injured)"", ""D. Jones (DE, R/Injured)"", ""W. Ray (DE, Active)"")","NULL","NULL","c(""D. Allen (OLB, R/Injured)"", ""A. Patrick (OLB, R/Injured)"")","c(""R. Wilborn (ILB, Active)"", ""J. Griffith (ILB, R/Injured)"", ""O. Fatukasi (ILB, Practice Squad)"")","L. Cushenberry (C, R/Injured)","NULL","c(""D. Risner (G, R/Injured)"", ""P. Ferguson (G, Practice Squad)"")","c(""T. Compton (T, R/Injured)"", ""G. Bolles (T, R/Injured)"", ""C. Tucker (T, R/Injured)"", ""H. Thedford (T, Practice Squad)"", ""G. Moore (T, Practice Squad)"")","NULL","NULL","NULL","NULL","c(""M. Mack (RB, R/Injured)"", ""M. Boone (RB, R/Injured)"", ""D. Crockett (RB, R/Injured)"", ""J. Williams (RB, R/Injured)"", ""T. McAllister (RB, Practice Squad)"")","C. Waitman (P, Active)","B. McManus (K, Active)","c(""J. Bobenmoyer (LS, Active)"", ""M. Fraboni (LS, R/Injured)"")","c(""D. Keene (TE, Practice Squad)"", ""G. Dulcich (TE, R/Injured)"")","c(""V. Bolden (WR, PS; Exc)"", ""T. Patrick (WR, R/Injured)"", ""K. Hamler (WR, R/Injured)"", ""T. Cleveland (WR, PS; Exc)"", ""K. Davis (WR, Practice Squad)"")","c(""D. Key (DB, Practice Squad)"", ""F. Hicks (DB, Practice Squad)"", ""D. Hood (DB, Practice Squad)"")","NULL","NULL","NULL","NULL","NULL","NULL","C. Allen (LB, R/Injured)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"DET","4","c(""T. Walker (FS, R/Injured)"", ""B. Price (FS, R/Injured)"")","NULL","c(""S. Smith (CB, Prac Sq.; Inj)"", ""K. Dorsey (CB, Practice Squad)"", ""A. Parker (CB, PS; Exc)"", ""C. Lucas (CB, R/Injured; DFR)"")","NULL","L. Onwuzurike (DE, R/Injured)","D. Taylor (DT, Practice Squad)","J. Penisini (NT, R/Retired)","c(""J. Stanford (OLB, PS; Vet)"", ""C. Harris (OLB, R/Injured)"", ""J. Okwara (OLB, R/Injured)"")","NULL","NULL","NULL","c(""H. Vaitai (G, R/Injured)"", ""T. Kraemer (G, R/Injured)"")","c(""D. Paulo (T, Practice Squad)"", ""J. Williams (T, Practice Squad)"", ""O. Eze (T, Prac Sq.; Inj)"", ""Z. Obeid (T, R/Retired)"")","NULL","NULL","NULL","S. Montez (QB, Practice Squad)","c(""J. Jefferson (RB, Active)"", ""G. Bell (RB, R/Injured)"")","J. Fox (P, Active)","c(""S. Ficken (K, PS; Vet)"", ""M. Badgley (K, Active)"")","K. Daly (LS, Active)","G. Griffin (TE, PS; Vet)","c(""B. Zylstra (WR, PS; Vet)"", ""T. Benson (WR, R/Injured)"", ""T. Kennedy (WR, PS; Exc)"", ""Q. Cephus (WR, R/Injured)"", ""M. Alexander (WR, Practice Squad)"", ""C. Sutton (WR, R/Retired)"", ""S. Berryhill (WR, Practice Squad)"")","c(""J. Williams (DB, Active)"", ""B. Breeze (DB, PS; Exc)"", ""J. Waller (DB, R/Retired)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"GB","4","V. Scott (FS, R/Injured)","NULL","c(""E. Stokes (CB, R/Injured)"", ""K. Thomas (CB, Practice Squad)"")","NULL","c(""D. Lowry (DE, R/Injured)"", ""T. Ward (DE, PS; Exc)"")","C. Slayton (DT, Practice Squad)","NULL","c(""R. Gary (OLB, R/Injured)"", ""L. Hamilton (OLB, Practice Squad)"")","NULL","c(""J. Hanson (C, R/Injured)"", ""M. Menet (C, Practice Squad)"")","NULL","S. Rhyan (G, R/Susp < 1Yr)","J. Delance (T, Practice Squad)","NULL","NULL","NULL","D. Etling (QB, Practice Squad)","T. Goodson (RB, Practice Squad)","P. O'Donnell (P, Active)","c(""M. Crosby (K, Active)"", ""R. Ahmed (K, Practice Squad)"", ""M. Ammendola (K, PS; Exc)"")","J. Coco (LS, Active)","c(""N. Guggemos (TE, Practice Squad)"", ""A. Allen (TE, Practice Squad)"")","c(""T. Fulgham (WR, PS; Exc)"", ""J. Winfree (WR, Practice Squad)"", ""J. Cotton (WR, Practice Squad)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","D. Thomas (LB, Practice Squad)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"HOU","4","NULL","NULL","c(""D. Ross (CB, Practice Squad)"", ""D. Stingley (CB, R/Injured)"")","W. Redmond (SS, PS; Vet)","c(""D. Rivers (DE, R/Injured)"", ""D. Harris (DE, Practice Squad)"", ""A. Odeleye (DE, Int'l PSquad)"")","T. Stallworth (DT, R/Injured)","NULL","K. Pierre-Louis (OLB, R/Injured)","B. Johnson (ILB, Practice Squad)","J. Britt (C, R/NFIL)","NULL","T. Wallace-Simms (G, Practice Squad)","c(""K. McDermott (T, PS; Vet)"", ""J. Steckler (T, Practice Squad)"")","NULL","NULL","NULL","NULL","c(""D. Anderson (RB, R/Injured)"", ""G. Doaks (RB, Practice Squad)"", ""D. Pierce (RB, R/Injured)"")","C. Johnston (P, Active)","J. Fairbairn (K, Active)","J. Weeks (LS, Active)","M. Schreck (TE, PS; Vet)","c(""M. Turner (WR, PS; Vet)"", ""D. Montgomery (WR, Practice Squad)"", ""D. Davis (WR, Practice Squad)"", ""A. Bachman (WR, Practice Squad)"", ""N. Collins (WR, R/Injured)"", ""J. Camp (WR, Prac Sq.; Inj)"", ""J. Metchie (WR, R/NFIL)"", ""D. Estrada (WR, Prac Sq.; Inj)"", ""J. Johnson (WR, Active)"")","T. McCollum (DB, Practice Squad)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"IND","4","S. Redwine (FS, PS; Vet)","NULL","c(""K. Moore (CB, R/Injured)"", ""I. Rodgers (CB, R/Injured)"")","c(""A. Watts (SS, R/Injured)"", ""K. Willis (SS, R/Retired)"", ""H. Black (SS, PS; Exc)"")","c(""Y. Ngakoue (DE, R/Injured)"", ""T. Lewis (DE, R/Injured)"", ""M. Agim (DE, PS; Exc)"")","NULL","NULL","R. Berry (OLB, Active)","NULL","NULL","NULL","c(""A. Hambright (G, PS; Exc)"", ""C. O'Donnell (G, R/Injured)"")","J. Murray (T, Practice Squad)","NULL","NULL","NULL","NULL","c(""J. Wilkins (RB, Waivers/No Rec.)"", ""J. Taylor (RB, R/Injured)"", ""D. Price (RB, Prac Sq.; Inj)"", ""A. Shampklin (RB, Practice Squad)"")","c(""R. Sanchez (P, R/Injured)"", ""M. Haack (P, Active)"")","C. McLaughlin (K, Active)","L. Rhodes (LS, Active)","c(""A. Ogletree (TE, R/Injured)"", ""J. Wydermyer (TE, Practice Squad)"")","c(""K. Coutee (WR, Active)"", ""V. Smith (WR, PS; Vet)"", ""D. Patmon (WR, Practice Squad)"", ""E. Fernea (WR, Practice Squad)"")","c(""D. Vereen (DB, Practice Squad)"", ""T. Denbow (DB, Active)"", ""M. Dabo (DB, Int'l PSquad)"")","NULL","NULL","NULL","NULL","S. Leonard (MLB, R/Injured)","NULL","c(""F. Rhyne (LB, Practice Squad)"", ""S. Olubi (LB, Practice Squad)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"JAX","4","NULL","NULL","S. Griffin (CB, R/Injured)","c(""D. Thompson (SS, PS; Vet)"", ""T. Gillespie (SS, PS; Exc)"")","c(""V. Charlton (DE, PS; Vet)"", ""D. Smoot (DE, R/Injured)"", ""J. Ledbetter (DE, Active)"", ""N. Thurman (DE, Practice Squad)"")","NULL","NULL","J. Smith (OLB, R/Injured)","NULL","c(""J. Murray (C, Practice Squad)"", ""D. Williams (C, Practice Squad)"")","NULL","c(""B. Linder (G, R/Retired)"", ""B. Bartch (G, R/Injured)"")","c(""C. Robinson (T, R/Injured)"", ""C. Cronk (T, Active)"")","NULL","NULL","NULL","c(""N. Rourke (QB, Reserve/Future)"", ""E. Perry (QB, Practice Squad)"")","M. Sargent (RB, Practice Squad)","L. Cooke (P, Active)","c(""R. Patterson (K, Active)"", ""J. McCourt (K, Practice Squad)"")","c(""G. Sanborn (LS, PS; Vet)"", ""R. Matiscik (LS, Active)"")","G. Prince (TE, Practice Squad)","c(""C. Ridley (WR, R/Com Sus-1 Yr)"", ""J. Moore (WR, Practice Squad)"", ""S. Williams (WR, Practice Squad)"", ""K. Austin (WR, Practice Squad)"", ""W. Johnson (WR, R/Injured)"")","A. Oyelola (DB, Int'l PSquad)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"KC","4","U. Amadi (FS, PS; Vet)","NULL","c(""C. Lammons (CB, Waivers/No Rec.)"", ""Z. Anderson (CB, Practice Squad)"", ""D. Bootle (CB, Practice Squad)"")","NULL","D. Wise (DE, Reserve/Future)","c(""T. Wharton (DT, R/Injured)"", ""P. Hoskins (DT, Practice Squad)"")","D. Shelton (NT, PS; Vet)","NULL","C. Christiansen (ILB, Practice Squad)","A. Reiter (C, PS; Vet)","NULL","M. Caliendo (G, Practice Squad)","NULL","NULL","NULL","NULL","C. Oladokun (QB, Practice Squad)","c(""M. Gordon (RB, PS; Vet)"", ""C. Edwards-Helaire (RB, Active)"", ""L. Perine (RB, PS; Exc)"", ""J. Ealy (RB, Practice Squad)"")","T. Townsend (P, Active)","c(""H. Butker (K, Active)"", ""M. Wright (K, PS; Exc)"")","J. Winchester (LS, Active)","c(""J. Franks (TE, Prac Sq.; Inj)"", ""J. Fortson (TE, Active)"", ""K. Blanton (TE, PS; Exc)"", ""M. Bushman (TE, Practice Squad)"")","c(""J. Ross (WR, Reserve/Future)"", ""M. Kemp (WR, PS; Vet)"", ""I. Smith-Marsette (WR, Practice Squad)"", ""C. Powell (WR, Prac Sq.; Inj)"", ""J. Ross (WR, R/Injured)"", ""T. Fryfogle (WR, Reserve/Future)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"LA","4","R. LeCounte (FS, PS; Exc)","NULL","G. Haley (CB, R/Injured)","c(""N. Scott (SS, R/Injured)"", ""J. Fuller (SS, R/Injured)"")","c(""T. Carter (DE, Practice Squad)"", ""Z. VanValkenburg (DE, Practice Squad)"", ""B. Thomas (DE, Practice Squad)"")","c(""A. Robinson (DT, R/Injured)"", ""K. Davis (DT, Practice Squad)"")","NULL","NULL","c(""J. Gervase (ILB, R/Injured)"", ""J. Hummel (ILB, R/Injured)"")","C. Toner (C, PS; Vet)","NULL","c(""J. Kolone (G, Practice Squad)"", ""D. Edwards (G, R/Injured)"", ""L. Bruss (G, R/Injured)"")","c(""A. Whitworth (T, R/Retired)"", ""J. Noteboom (T, R/Injured)"", ""T. Anchrum (T, R/Injured)"", ""A. Jackson (T, R/Injured)"", ""M. Pircher (T, Int'l PSquad)"")","NULL","NULL","NULL","c(""J. Stafford (QB, R/Injured)"", ""S. Cookus (QB, Practice Squad)"")","NULL","c(""B. Miller (P, Practice Squad)"", ""R. Dixon (P, Active)"")","M. Gay (K, Active)","M. Orzech (LS, Active)","c(""J. Pinkney (TE, Active)"", ""R. Carter (TE, Practice Squad)"")","c(""A. Robinson (WR, R/Injured)"", ""C. Kupp (WR, R/Injured)"", ""L. Lenoir (WR, Practice Squad)"", ""J. Koski (WR, R/Injured)"", ""J. Harris (WR, R/Injured)"", ""J. Sterns (WR, Practice Squad)"", ""J. Roberson (WR, Practice Squad)"")","T. Carter (DB, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"LAC","4","M. Webb (FS, Practice Squad)","NULL","c(""J. Jackson (CB, R/Injured)"", ""K. Hall (CB, R/Injured)"", ""M. Jacquet (CB, Practice Squad)"")","NULL","c(""J. Gaziano (DE, R/Injured)"", ""C. Kemp (DE, Practice Squad)"")","c(""D. Moa (DT, Active)"", ""A. Crawford (DT, Practice Squad)"", ""F. Merrill (DT, R/Injured)"", ""O. Ogbonnia (DT, R/Injured)"")","c(""C. Covington (NT, R/Injured)"", ""A. Johnson (NT, R/Injured)"")","J. Attaochu (OLB, PS; Vet)","D. Lloyd (ILB, R/Injured)","I. Weaver (C, R/Injured)","NULL","Z. Bailey (G, Practice Squad)","c(""A. Pleasants (T, Practice Squad)"", ""R. Slater (T, R/Injured; DFR)"", ""A. Trainer (T, R/Injured)"")","NULL","NULL","NULL","NULL","L. Rountree (RB, Active)","c(""J. Scott (P, Active)"", ""C. Dicker (P, Active)"")","c(""D. Hopkins (K, R/Injured)"", ""T. Bertolet (K, Prac Sq.; Inj)"")","J. Harris (LS, Active)","c(""R. Rodgers (TE, R/Injured)"", ""H. Kampmoyer (TE, Practice Squad)"")","c(""K. Doss (WR, Practice Squad)"", ""J. Guyton (WR, R/Injured)"", ""J. Moore (WR, PS; Exc)"", ""J. Reed (WR, PS; Exc)"", ""J. Hightower (WR, PS; Exc)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","T. Maddox-Williams (LB, Practice Squad)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
