player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Sione Takitaki,12666,LB,CLV,1,0,0,,0,0,8,64.3,63.6,82.1,53.8,63.5,75.6,0,1,0,,0.0,0,0,0,0.0,0,0,10,0,5,23,4,0,0,4,0,0,19,4,14,8,2,3,0,1,0,0,0,
Sam Beal,13822,CB,NYG,1,0,0,,0,0,21,,60.0,64.2,,60.0,,0,0,0,,,0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
Sam Eguavoen,15301,LB,MIA,1,0,0,100.0,0,0,17,45.3,36.3,67.4,,60.1,71.4,0,0,0,8,0.0,0,0,0,100.0,1,0,4,0,2,4,0,0,0,0,0,0,4,0,2,0,0,1,1,0,0,8,10,8.0
Kemoko Turay,21702,ED,IND,1,1,0,,0,0,14,,28.0,0.0,69.1,34.4,27.7,0,1,0,,50.0,1,0,2,0.0,0,1,0,0,0,15,15,0,0,15,0,0,0,7,8,0,1,0,0,2,0,0,0,
Sam Kamara,24176,ED,CHI,1,1,0,,0,0,6,64.5,59.6,73.6,53.8,59.3,75.8,0,1,0,,0.0,0,0,0,0.0,0,0,0,0,2,12,11,0,0,11,0,0,1,6,4,1,0,0,0,1,0,0,0,
Nathan Shepherd,24614,DI,NYJ,1,0,0,,0,0,22,,43.6,73.0,53.4,48.1,,0,0,0,,,0,0,0,0.0,0,0,0,0,0,16,16,0,11,0,5,0,0,8,8,0,0,0,0,0,0,0,0,
Foyesade Oluokun,24904,LB,ATL,1,3,0,66.7,0,0,2,43.6,56.1,77.9,49.5,69.9,62.6,1,1,0,23,12.5,2,0,0,109.7,2,0,66,0,22,74,6,0,0,6,0,0,68,7,45,2,2,11,3,2,0,40,27,20.0
Deionte Thompson,25444,S,ARZ,1,0,0,,0,0,1,,60.0,64.1,,60.0,,0,0,0,,,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,
Levi Wallace,25445,CB,BUF,1,0,0,55.6,0,0,4,63.7,64.5,76.6,,63.5,49.8,0,0,0,23,16.7,1,1,0,74.8,5,0,11,56,48,69,1,0,0,1,0,0,68,0,21,1,1,5,9,0,0,57,15,11.4
Dane Cruikshank,25546,S,TEN,1,0,0,100.0,0,0,31,64.9,59.8,73.0,58.4,60.0,74.6,0,0,0,6,0.0,0,0,0,79.2,2,0,7,2,16,20,1,0,0,1,0,5,19,1,3,5,1,2,2,0,0,4,1,2.0
Bravvion Roy,25644,DI,CAR,1,1,0,,0,0,5,,56.0,75.7,54.9,58.0,68.7,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,17,17,10,7,0,0,0,0,8,9,0,1,1,0,0,0,0,0,
Clay Johnston,25685,LB,CAR,1,0,0,,0,0,5,60.0,50.9,64.5,,55.0,73.3,0,0,0,,0.0,0,0,0,0.0,0,0,3,0,1,3,0,0,0,0,0,0,3,0,2,0,0,1,0,0,0,0,0,
Henry Black,25687,S,GB,1,0,0,0.0,0,0,12,61.2,61.8,74.2,,60.0,80.7,0,0,1,,0.0,0,0,0,0.0,0,0,1,0,12,13,0,0,0,0,0,5,13,0,1,7,0,2,1,0,0,0,0,
Dexter Lawrence,25991,DI,NYG,1,0,0,,0,0,21,62.2,56.0,78.4,53.9,53.7,70.1,0,2,0,,0.0,0,0,0,0.0,0,0,0,0,1,54,54,0,40,1,13,0,0,32,21,0,3,3,0,2,0,0,0,
Mark Gilbert,26144,CB,DET,1,1,0,100.0,0,0,11,43.3,53.1,69.1,,66.8,29.3,0,0,0,2,33.3,1,0,0,79.2,1,0,7,7,2,14,0,0,0,0,0,0,14,0,12,0,0,1,1,0,0,2,6,2.0
Jabari Zuniga,26449,ED,NYJ,1,1,0,,0,1,22,,67.1,77.9,76.5,51.7,73.0,0,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,21,21,0,0,21,0,0,0,11,10,0,1,1,0,1,0,0,0,
C.J. Moore,26617,S,DET,1,0,0,,0,0,11,,65.4,70.9,,64.3,77.2,0,0,0,,0.0,0,0,0,0.0,0,0,1,0,0,8,0,0,0,0,0,3,8,0,8,4,0,1,0,0,0,0,0,
D.J. Reed Jr.,26940,CB,SEA,1,0,0,50.0,0,0,29,72.2,72.3,77.2,,63.0,75.4,0,0,0,7,0.0,0,0,0,58.3,1,0,4,43,36,49,0,0,0,0,0,0,49,0,13,2,0,2,2,0,0,7,6,7.0
Isaiah Rodgers,27069,CB,IND,1,0,0,,0,0,14,,60.0,67.6,,60.0,,0,0,0,,,0,0,0,0.0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,
Montez Sweat,27271,ED,WAS,1,0,0,,0,0,32,60.4,53.1,0.0,65.8,54.6,,2,0,0,,,0,0,1,0.0,0,0,0,0,3,31,31,0,1,28,2,0,0,17,11,0,0,0,0,2,0,0,0,
Devin Bush,27375,LB,PIT,1,0,0,80.0,0,0,25,61.4,41.0,73.7,60.0,29.1,77.3,0,0,0,14,0.0,0,0,0,95.8,4,0,38,0,25,44,0,0,0,0,0,0,44,1,18,6,3,5,5,0,0,35,41,8.8
David Long Jr.,27377,CB,LA,1,0,0,66.7,0,0,26,63.2,63.8,78.0,,62.0,75.1,0,0,0,24,0.0,0,0,0,100.7,2,0,0,57,45,57,0,0,0,0,0,0,57,0,12,0,0,2,3,0,0,31,2,15.5
Josh Uche,27379,ED,NE,1,0,0,,0,0,19,77.6,67.4,74.9,56.4,60.0,70.5,0,2,0,,0.0,0,0,0,0.0,0,0,0,0,5,26,26,0,0,26,0,0,0,19,2,0,1,1,0,2,0,0,0,
Armon Watts,27844,DI,MIN,1,0,0,,0,0,18,,50.9,79.0,59.8,47.4,68.3,0,1,0,,0.0,0,0,0,0.0,0,0,0,0,0,47,47,36,6,0,5,0,0,28,19,0,2,2,0,1,0,0,0,
